1,54686772,Inactive
2,648301,Inactive
3,651193,Inactive
4,651393,Inactive
5,652578,Inactive
6,652800,Inactive
7,655014,Inactive
8,655325,Inactive
9,656186,Active
10,656193,Inactive
11,5389004,Active
12,657865,Inactive
13,629074,Active
14,659089,Inactive
15,659522,Inactive
16,660166,Inactive
17,660323,Inactive
18,660552,Inactive
19,660818,Inactive
20,5389333,Inactive
21,661924,Inactive
22,662288,Inactive
23,662388,Inactive
24,663873,Inactive
25,664030,Inactive
26,664821,Inactive
27,664985,Inactive
28,2997825,Inactive
29,2368506,Inactive
30,2322334,Inactive
31,2998957,Inactive
32,2998967,Active
33,2337473,Inactive
34,2366780,Inactive
35,2106174,Inactive
36,5771297,Inactive
37,3236823,Active
38,3237318,Active
39,3238023,Inactive
40,606590,Inactive
41,3239387,Inactive
42,3239875,Inactive
43,3240576,Active
44,1279932,Inactive
45,2948741,Inactive
46,598633,Inactive
47,889704,Active
48,893610,Inactive
49,848420,Inactive
50,893110,Inactive
51,1265172,Inactive
52,900591,Inactive
53,1260077,Inactive
54,1242001,Inactive
55,2960025,Inactive
56,5307897,Inactive
57,1291888,Inactive
58,771515,Inactive
59,2834991,Active
60,2253328,Active
61,781997,Inactive
62,721129,Active
63,5310645,Active
64,750789,Inactive
65,784670,Inactive
66,815385,Inactive
67,774975,Active
68,672470,Active
69,307157,Inactive
70,704725,Inactive
71,2817312,Active
72,10145,Active
73,2839049,Inactive
74,607627,Active
75,750288,Inactive
76,2842914,Inactive
77,2737879,Inactive
78,2920510,Inactive
79,2832907,Inactive
80,3103133,Inactive
81,2802851,Inactive
82,3152412,Inactive
83,594763,Inactive
84,815408,Inactive
85,2865279,Inactive
86,3154276,Inactive
87,3147878,Active
88,744674,Inactive
89,3155321,Inactive
90,1818715,Active
91,272567,Active
92,1481586,Inactive
93,2769183,Active
94,254021,Active
95,942915,Inactive
96,2308267,Inactive
97,2938230,Inactive
98,3553766,Active
99,9605336,Inactive
100,44601848,Inactive
101,6537751,Inactive
102,613230,Inactive
103,5338522,Active
104,631429,Inactive
105,871656,Active
106,2187659,Inactive
107,5739491,Inactive
108,2841620,Active
109,800760,Inactive
110,9661382,Inactive
111,2938921,Inactive
112,2833933,Active
113,1100894,Inactive
114,3381552,Inactive
115,4366681,Inactive
116,1405137,Active
117,698642,Active
118,1895705,Active
119,1891819,Inactive
120,594662,Inactive
121,3787751,Inactive
122,3816369,Active
123,4261850,Active
124,5401878,Active
125,5401874,Active
126,5904397,Inactive
127,2427312,Inactive
128,2016176,Inactive
129,1902314,Active
130,2021006,Inactive
131,3844247,Inactive
132,56642914,Active
133,4426892,Inactive
134,5175116,Inactive
135,9551970,Inactive
136,2364331,Inactive
137,9585821,Inactive
138,807887,Inactive
139,5405848,Inactive
140,11834427,Inactive
141,6382444,Inactive
142,2399438,Inactive
143,11834470,Active
144,2323972,Active
145,11948746,Inactive
146,3252210,Inactive
147,56642881,Inactive
148,3017166,Inactive
149,11837938,Active
150,3836104,Inactive
151,853275,Inactive
152,1914089,Inactive
153,1481943,Active
154,11958691,Inactive
155,1468188,Inactive
156,6866455,Inactive
157,56642929,Inactive
158,3108928,Inactive
159,2893413,Active
160,11958783,Inactive
161,3784685,Inactive
162,266054,Inactive
163,2854583,Active
164,2850825,Active
165,5339240,Inactive
166,2879069,Inactive
